,,ナビデータ中身
2019/11/10,12:04:55,CVGPSR001FC01000630000590037462168140293028+062019029441-04070120454114
2019/11/10,12:04:56,CVGPSR001FC01000634000594037462176140293012+062017829447-04070120455114
2019/11/10,12:04:57,CVGPSR001FC01000639000599037462184140292993+062016429460-04070120456114
2019/11/10,12:04:58,CVGPSR001FC01000644000604037462190140292978+062015229441-04070120457114
2019/11/10,12:04:59,CVGPSR001FC01000649000609037462196140292962+061015129479-04070120458114
2019/11/10,12:05:00,CVGPSR001FC01000654000614037462204140292946+061015829493-04070120459114
2019/11/10,12:05:01,CVGPSR001FC01000659000619037462210140292931+061016529470-04070120500114
2019/11/10,12:05:02,CVGPSR001FC01000664000624037462218140292912+061017129387-04070120501114
2019/11/10,12:05:03,CVGPSR001FC01000669000629037462226140292896+061017629308-04070120502114
2019/11/10,12:05:04,CVGPSR001FC01000674000634037462234140292878+061017829280-04070120503114
2019/11/10,12:05:05,CVGPSR001FC01000680000640037462242140292859+060018029220-04070120504114
2019/11/10,12:05:06,CVGPSR001FC01000685000645037462250140292840+060018229258-04070120505114
2019/11/10,12:05:07,CVGPSR001FC01000690000650037462257140292821+060018329380-04070120506114
2019/11/10,12:05:08,CVGPSR001FC01000695000655037462265140292803+060018429500-04070120507114
